Unnamed: 0,IMMAGINE,DOMANDA,RISPOSTA 1,V/F,RISPOSTA 2,V/F.1,RISPOSTA 3,V/F.2,TEMA
761,,L'esercizio abusivo di attività commerciali con unità da diporto è punito:,con la sanzione amministrativa da 250 euro a 1.100 euro.,F,con la sanzione amministrativa da 2.755 euro a 11.017 euro.,V,con la sanzione amministrativa da 557 euro a 2.507 euro.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
762,,In caso di leasing nautico:,l'utilizzatore condivide la responsabilità del comando con il proprietario.,F,l'utilizzatore assume in toto la responsabilità del comando.,V,la responsabilità del comando è stabilita dal contratto di leasing.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
763,,Il comandante dell'unità navale che in caso di urto non dia nei limiti del possibile alle altre unità le notizie necessarie per l'identificazione della propria imbarcazione:,è punito con la reclusione da uno a due mesi.,F,"è punito con il pagamento di un'ammenda fino a 206,00 Euro.",F,"è punito con la sanzione amministrativa del pagamento di una somma da 1.032,00 Euro a 6.197,00 Euro.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
764,,"Con riguardo alla locazione delle unità da diporto, quale tra queste affermazioni è corretta?","il conduttore di un'unità da diporto locata, ne esercita la navigazione assumendosi le responsabilità ed i rischi.",V,"il conduttore di un'unità da diporto locata, ne esercita la navigazione senza assumersene le responsabilità e i rischi che restano in capo al proprietario.",F,"il conduttore di un'unità da diporto locata, ne esercita la navigazione senza assumersene le responsabilità e i rischi che restano in capo al noleggiatore.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
766,,Quali sono gli obblighi a cui deve adempiere il conduttore di un'unità navale da diporto locata?,impiegare l'unità navale da diporto secondo le caratteristiche tecniche risultanti dal certificato di stabilità  e in conformità alle finalità di diporto.,F,impiegare l'unità da diporto secondo le caratteristiche tecniche risultanti dal certificato di classe e in conformità alle finalità di diporto.,F,impiegare l'unità da diporto secondo le caratteristiche tecniche risultanti dalla licenza di navigazione e in conformità alle finalità di diporto.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
767,,Il contratto di locazione delle imbarcazioni e delle navi da diporto:,deve essere tenuto a bordo in originale o copia conforme.,V,va rinnovato in concomitanza della scadenza delle manutenzioni periodiche dell'apparato motore.,F,può anche essere tenuto a bordo in copia fotostatica.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
768,,La licenza di navigazione e gli altri documenti prescritti sono mantenuti a bordo:,"in originale, o in copia autentica se la navigazione avviene tra porti dello Stato.",V,esclusivamente in originale solo se la navigazione avviene tra porti di uno stesso compartimento marittimo.,F,dopo esser stati vidimati annualmente da parte della competente Autorità marittima.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
769,,Il certificato di sicurezza:,deve essere registrato presso l'Agenzia delle Dogane entro 30 giorni dal rilascio.,F,attesta lo stato di stabilità dell'unità e fa parte dei documenti di bordo.,F,attesta lo stato di navigabilità dell'unità e fa parte dei documenti di bordo.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
770,,La dichiarazione di potenza del motore installato a bordo:,è facoltativa.,F,è inclusa nel Manuale del proprietario.,F,fa parte dei documenti di bordo di natanti e imbarcazioni con fuoribordo.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
771,,"Con riguardo al noleggio delle unità da diporto, quale tra queste affermazioni è corretta?",il contratto è redatto per iscritto a pena di nullità e deve essere tenuto a bordo in originale o copia conforme.,V,il contratto è redatto per iscritto a pena di nullità ed è conservato in originale presso l'Ufficio di iscrizione.,F,il contratto è redatto per iscritto a pena di nullità ed è conservato in originale presso la Direzione Marittima di giurisdizione ove è iscrittà l'unità.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
773,,L'utilizzo di un'imbarcazione da diporto per mezzo di contratti di locazione ovvero di noleggio risulta:,dalla licenza di navigazione.,V,dall'iscrizione nel registro delle imprese.,F,dall'omologazione CE.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
774,,"A che distanza dalla costa possono navigare le unità a remi (pedalò, sandolini ecc.) ?",entro 1 miglio dalla costa.,V,in base alle condimeteomarine individuate con ordinanza dell'Autorità marittima.,F,entro 6 miglia.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
775,,La patente nautica può essere sospesa:,per assunzione del comando in stato di ebbrezza (ubriachezza) o sotto effetto di stupefacenti (droghe).,V,a seguito di denuncia di evento ordinario.,F,per mancanza a bordo delle dotazioni di sicurezza.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
776,,Le unità da diporto sono classificate in base alla:,lunghezza fuori tutto.,V,"potenza dell'apparato motore, stazza e lunghezza fuori tutto.",F,"lunghezza, larghezza e altezza di costruzione.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
777,,Un'unità a motore lunga 9 metri è classificata:,natante da diporto.,V,imbarcazione da diporto.,F,nave da diporto.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
778,,Il ritrovamento di un relitto va denunciato all'Autorità competente entro:,3 giorni dal ritrovamento o dall'approdo.,V,7 giorni dal ritrovamento o dall'approdo.,F,24 ore dal ritrovamento o dall'approdo.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
780,,Le acque interne marittime sono costituite:,dalle acque marittime riservate alla balneazione.,F,dai laghi e dai fiumi dello Stato.,F,dalle acque marittime comprese tra la costa e la linea di base.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
781,,Ai natanti spetta l'obbligo di esporre la bandiera nazionale?,"sì, sempre.",F,"si, solo in acque territoriali.",F,no.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
782,,"I limiti di navigazione delle unità munite di marcatura ""CE"" sono definiti:",dall'omologazione dell'organo tecnico.,F,dall'altezza significativa delle onde e dalla forza del vento.,V,dalla distanza dalla costa.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
783,,"Può conseguire la patente nautica un ""delinquente abituale""?",dipende dalle violazioni per le quali è stato dichiarato delinquente abituale.,F,no.,V,sì.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
784,,La bandiera nazionale deve essere esposta:,dalle navi e dalle imbarcazioni da diporto.,V,tutte le unità da diporto.,F,soltanto dalle navi e dalle imbarcazioni da diporto se abilitate alla navigazione oltre le 12 miglia di distanza dalla costa.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
785,,"Un'imbarcazione da diporto marcata ""CE"", può recarsi all'estero?","si, se la categoria di progettazione consente di intraprendere la navigazione necessaria per raggiungere la destinazione estera.",V,"sì, sempre.",F,"sì, ma solo in presenza di mare e vento assicurati.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
787,,La denuncia di evento straordinario è presentata se in corso di:,"navigazione, le persone a bordo hanno corso un pericolo.",F,"navigazione, si esegue una variazione di rotta non programmata.",F,"navigazione, si siano verificati eventi anomali relativi all'unità o alle persone a bordo.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
788,,La licenza di navigazione è valida:,3 anni.,F,5 anni.,F,sino a che l'unità da diporto non subisca modifiche agli elementi strutturali o di identificazione della stessa ovvero importanti innovazioni.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
789,,L'obbligo della patente nautica per condurre un natante da diporto sorge:,"mai, perché non è necessaria la patente nautica per i natanti da diporto.",F,"quando la potenza del motore supera i 40,8 Cv, fermo restando la cilindrata, i tempi del motore ed il carburante impiegato.",V,"quando la potenza del motore supera i 25 Cv, fermo restando la cilindrata, i tempi del motore ed il carburante impiegato.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
790,,"Occorre la patente nautica per il comando o condotta di un'imbarcazione da
diporto entro 6 miglia dalla costa, quando a bordo sia installato un motore di
potenza di 29 Kw e cilindrata 750 centimetri cubici?","no, in questo caso è richiesto solo di aver compiuto 18 anni.",V,"sì, in questo caso sussiste l'obbligo di patente nautica.",F,"sì, solo se minorenne.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
791,,"Quali unità da diporto sono soggette alla marcatura ""CE""?",natanti a motore e quelli a vela con superficie velica superiore a quattro metri quadrati.,F,unità di lunghezza compresa tra 10 metri e 24 metri.,F,"unità di lunghezza compresa tra 2,5 metri e 24 metri, se immesse in commercio dopo il 16/06/1998.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
792,,La patente nautica è obbligatoria per il comando o condotta di un'imbarcazione da diporto entro le 6 miglia dalla costa?,"sì, sempre a prescindere sia della cilindrata che delle altre caratteristiche del motore.",F,"sì, se l'unità è munita di motore con potenza superiore a 40.8 cavalli.",V,"no, mai.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
794,,Si può sospendere la patente nel caso di assunzione del comando di un'unità da diporto con patente nautica scaduta di validità?,"sì, se la patente nautica è scaduta da più di 12 mesi.",F,non è prevista la sospensione in questo caso.,V,"sì, sempre.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
795,,Quando il secondo motore è considerato ausiliario?,quando è inferiore a 40 Cv.,F,quando è superiore a 40 Cv.,F,"quando è di tipo amovibile, sistemato su proprio supporto con potenza non superiore al 20% di quella del motore principale.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
796,,"Il ""manuale del proprietario"" è quel documento contenente i dati tecnici:",del natante omologato CE.,V,di una nave da diporto.,F,del natante non omologato CE.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
797,,"Cosa comporta l'assunzione, con l'abilitazione scaduta, del comando o condotta di un'unità soggetta ad obbligo di patente nautica?",il sequestro dell'unità.,F,una salata sanzione amministrativa.,V,l'arresto.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
798,,La licenza e gli altri documenti per le unità da diporto devono essere sempre tenuti a bordo in originale?,"no, per la navigazione tra i porti nazionali è sufficiente avere a bordo le copie conformi all'originale.",V,"si, previa autorizzazione rilasciata dall'Autorità marittima.",F,"no, è sufficiente avere a bordo delle semplici copie fotostatiche.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
799,,Dove vengono iscritte le imbarcazioni e navi da diporto?,nell'ATCN (Archivio Telematico Centrale della Nautica da diporto) per il tramite dello STED (Sportello Telematico del Diportista),V,solo presso le Capitanerie di porto.,F,non vengono più iscritte nei registri navali poiché abrogati.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
801,,"Per il comando e condotta di un'imbarcazione da diporto a vela senza motore ausiliario, per la navigazione nelle acque interne e nelle acque marittime entro 6 miglia dalla costa, è sufficiente:",la patente nautica per il comando e condotta di imbarcazioni da diporto a vela e motore entro 12 miglia dalla costa.,F,aver compiuto diciotto anni.,V,la patente nautica per il comando e condotta di imbarcazioni da diporto a motore entro 12 miglia dalla costa.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
802,,E' possibile comandare e condurre un'imbarcazione da diporto utilizzata con contratti di noleggio?,"sì, solo a condizione di essere in possesso di idoneo titolo professionale del diporto prescritto dalla legge.",V,"no, solo se in possesso della patente nautica per nave da diporto.",F,"sì, sempre.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
803,,"Si paga una somma per ""prendere in godimento"" un'imbarcazione per un determinato periodo di tempo e il contratto esclude la ""possibilità di riscatto"" alla sua scadenza; siamo in presenza di un contratto di:",locazione.,V,leasing finanziario.,F,noleggio.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
804,,"Se si paga una somma per usufruire dei servizi di una persona, che si mette a disposizione e mette a disposizione la sua imbarcazione per un determinato periodo di tempo, si ha un contratto di:",leasing finanziario.,F,noleggio.,V,locazione.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
805,,Quale tra le seguenti affermazioni sul noleggio di unità da diporto è corretta?,"l'unità noleggiata rimane nella disponibilità del proprietario/armatore (noleggiante), alle cui dipendenze resta anche l'equipaggio.",V,"il cliente (noleggiatore) dell'unità ne esercita la navigazione, assumendosene le responsabilità e i rischi.",F,noleggio e locazione sono sinonimi.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
806,,Il noleggio occasionale è:,è una attività professionale svolta in maniera non continuativa.,F,la facoltà del proprietario di una imbarcazione di noleggiare la propria unità per un massimo di 42 giorni l'anno previa comunicazione di ogni singolo contratto all'Agenzia delle Entrate e all'Autorità marittima. Non costituisce un'attività professionale.,V,è un sinonimo di locazione.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
808,,Quale tra le seguenti affermazioni sul contratto di noleggio di unità da diporto è corretta?,"può prevedere anche più clienti ""noleggiatori a cabina""; salva diversa volontà delle parti, sono stipulati più contratti di noleggio per quanti sono i noleggiatori di ogni cabina o gruppo di cabine.",V,può essere intestato sempre e solo a una persona fisica.,F,può essere concluso anche in forma orale se alla presenza di un ufficiale dell'Autorità marittima.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
809,,"Un'unità da diporto, avente lunghezza fuori tutto pari a 7 metri, può essere iscritta nel registro delle imbarcazioni da diporto?","sì, ma subisce il regime giuridico delle imbarcazioni da diporto.",V,"sì, se con un motore di potenza superiore a 40,8 CV.",F,"sì, ma mantiene il regime giuridico del natante da diporto.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
810,,Un cittadino di 55 anni deve rinnovare la patente; la validità del nuovo documento sarà:,di 3 anni.,F,di 10 anni.,V,di 5 anni.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
811,,Per navigazione da diporto s'intende la navigazione effettuata a scopo:,"sportivo o ricreativo ovvero commerciale, come previsto dal Codice della nautica da diporto.",V,"ricreativo, dai cui esuli ogni forma di agonismo.",F,solo sportivo.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
812,,Come è articolata la validità temporale della patenta nautica?,"10 anni se non si è superato il 60esimo anno di età, 5 anni se si è superato tale limite d'età.",V,10 anni per tutti.,F,"10 anni se non si è superato il 50esimo anno di età, 5 anni se si è superato tale limite d'età.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
813,,"Assumere il comando di un'unità senza aver conseguito la prescritta abilitazione, comporta:",la sanzione amministrativa che va da 2.755 a 11.017 euro e la sospensione della licenza di navigazione per 30 giorni.,V,la sanzione amministrativa che va da 2.755 a 11.017 euro e l'arresto.,F,"la sanzione amministrativa che va da 2.755 a 11.017 euro, la sospensione della licenza di navigazione per 1 anno.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
815,,Per condurre una moto d'acqua è sempre necessaria la patente nautica?,"no, solo in caso di potenza superiore a 40.8 cavalli.",F,"sì, sempre.",V,"mai, perchè di lunghezza inferiore a 4,5 metri.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
816,,"Il battello di servizio (tender) non ha l'obbligo delle dotazioni di sicurezza e dei mezzi di salvataggio, fatti salvi i mezzi di salvataggio individuali, se naviga:",entro 500 metri dalla costa o dall'unità madre.,F,entro un miglio dalla costa o dall'unità madre.,V,entro due miglia dalla costa o dall'unità madre.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
817,,"La patente nautica è obbligatoria per il comando o condotta di un'imbarcazione da diporto entro 6 miglia dalla costa, quando a bordo sia installato un motore di potenza di 29 Kw e cilindrata di 1.398 centimetri cubici con carburazione a 4 tempi entro bordo?","sì, solo se minorenne.",F,"no, in questo caso è richiesto solo di aver compiuto i 18 anni di età.",F,"sì, in questo caso sussiste l'obbligo di patente nautica.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
818,,L'obbligo dell'assicurazione sulla responsabilità civile ricade:,sui motori di potenza superiore a 10 Cv.,F,"sui motori di potenza superiore a 40,8 Cv.",F,"su qualsiasi motore marino, amovibile e non, indipendentemente dalla potenza.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
819,,Quando è sospesa la patente nautica?,per gravi atti di imperizia ed imprudenza.,V,quando è scaduta e non è stata rinnovata.,F,quando non si è pagato il bollo annuale.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
820,,"Tutte le unità a motore hanno l’obbligo di tenere a bordo la dichiarazione di
potenza del motore (o il certificato d’uso motore)?","si, tutte le unità da diporto a motore hanno l'obbligo a prescindere che siano o non siano iscritte nei registri navali.",F,"no, oltre ai natanti da diporto, hanno l'obbligo solo le imbarcazioni da diporto dotate di motore fuoribordo.",V,"no, hanno l'obbligo solo le navi da diporto.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
822,,"Il documento che riporta, tra le varie caratteristiche, i dati di un’imbarcazione e i dati anagrafici del suo proprietario, è denominato:",manuale del proprietario.,F,certificato di proprietà marittimo.,F,licenza di navigazione.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
823,,"Nel caso di unità non adibita a noleggio, il certificato di sicurezza è rilasciato?",solo ai natanti da diporto adibiti a locazione commerciale.,F,solo alle navi e le imbarcazioni da diporto.,V,a tutte le unità da diporto.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
824,,I limiti fissati dalla legge per il conseguimento della patente nautica relativamente al motore sono determinati:,da una tabella ministeriale.,F,dalla potenza massima di esercizio.,V,dalla potenza fiscale del motore.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
825,,Il conduttore di una moto d’acqua deve:,possedere la patente nautica solo se l'unità ha una cilindrata superiore a 785 centimetri cubici.,F,indossare il giubbotto di salvataggio e rispettare i limiti di velocità disposti localmente.,V,raggiungere la riva senza bisogno dei corridoi di atterraggio.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
826,,La patente nautica viene revocata in caso di:,"condotta con tasso alcolemico pari a 1,50 grammi per litro.",F,per gravi atti di imperizia ed imprudenza.,F,in caso di perdita dei requisiti morali e fisici.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
827,,"Un natante marcato ""CE"", quante persone può trasportare?",quelle indicate nel certificato di omologazione.,V,dipende dall'ordinanza disciplinante l'utilizzazione dei natanti da diporto.,F,quelle indicate nella dichiarazione di potenza del motore per natanti da diporto.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
829,,"La patente nautica è obbligatoria per il comando o condotta di un'imbarcazione da diporto entro 6 miglia dalla costa, quando a bordo sia installato un motore fuoribordo di potenza di 29 Kw e cilindrata di 1.299 centimetri cubici a iniezione diretta?","sì, solo se minorenne.",F,"no, in questo caso è richiesto solo di aver compiuto i 18 anni di età.",F,"sì, in questo caso sussiste l'obbligo di patente nautica.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
830,,La patente per condurre un acquascooter è obbligatoria:,solo se il motore è di cilindrata superiore a 750 centimetri cubici.,F,solo se il motore supera i 30 Kw.,F,sempre.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
831,,"A chi va presentata la denuncia di evento straordinario, in caso di evento straordinario all’estero?",al consolato di bandiera.,V,all’autorità marittima italiana al primo porto di approdo in territorio nazionale.,F,all’autorità marittima locale che lo trasmetterà al consolato di bandiera.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
832,,"E' obbligatoria la patente nautica, per la navigazione con un'imbarcazione da diporto entro 6 miglia dalla costa, quando a bordo sia installato un motore di potenza di 29 Kw e cilindrata di 1.098 centimetri cubici e carburazione a quattro tempi fuori bordo?","sì, in questo caso sussiste l'obbligo di patente nautica.",V,"no, in questo caso è richiesto solo di aver compiuto i 18 anni di età.",F,"sì, solo se minorenne.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
833,,E' obbligatoria la patente nautica per condurre un’unità da diporto avente un motore di 35 Kw?,mai.,F,solo in determinati casi.,F,sempre.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
834,,La validità della patente nautica è di 10 anni sino al compimento del:,65esimo anno e poi 5 anni.,F,60esimo anno e poi 5 anni.,V,50esimo anno e poi 5 anni.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
836,,Un natante è quell'unità:,non iscritta.,V,iscritta.,F,di lunghezza superiore a 10 metri.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
837,,Chi regge il timone di un'imbarcazione da diporto deve essere necessariamente munito di patente nautica?,"no, purchè vi sia a bordo altra persona regolarmente abilitata per il tipo di navigazione in atto che si assuma la responsabilità del comando e della condotta.",V,"no, purchè abbia delega scritta ed età non inferiore ad anni 14.",F,"si, sempre perché tenere il timone significa determinare la direzione della navigazione in atto.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
838,,Il documento che riporta le caratteristiche del motore di un natante è conosciuto sotto di:,dichiarazione motoristica.,F,libretto del motore.,F,dichiarazione di potenza.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
839,,"La categoria di progettazione ""B"" presuppone che l'imbarcazione da diporto sia in grado di navigare (individuare l'affermazione corretta):",in presenza di forza del vento superiore a 8 e altezza significativa dell'onda non superiore a 4 metri.,F,in presenza di forza del vento non superiore a 8 e altezza significativa dell'onda non superiore a 4 metri.,V,in presenza di forza del vento non superiore a 8 e altezza significativa dell'onda non superiore a 5 metri.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
840,,"La categoria di progettazione ""C"" presuppone che l'imbarcazione da diporto sia in grado di navigare (individuare l'affermazione corretta):",in presenza di forza del vento superiore a 7 e altezza significativa dell'onda non superiore a 4 metri.,F,in presenza di forza del vento non superiore a 7 e altezza significativa dell'onda non superiore a 3 metri.,F,in presenza di forza del vento non superiore a 6 e altezza significativa dell'onda non superiore a 2 metri.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
841,,"E' obbligatoria la patente nautica, per la navigazione con un natante da diporto entro 6 miglia dalla costa, quando a bordo sia installato un motore di potenza di 29 Kw e cilindrata di 998 centimetri cubici e carburazione a quattro tempi fuori bordo?","no, in questo caso è richiesto solo di aver compiuto i 16 anni di età.",V,"si, in questo caso sussiste l'obbligo di patente nautica.",F,"sì, solo se minorenne.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
843,,"La categoria di progettazione ""D"" presuppone che l'imbarcazione da diporto sia in grado di navigare (individuare l'affermazione corretta):","in presenza di forza del vento non superiore a 3 e altezza significativa dell'onda non superiore a 0,2 metri, occasionalmente a 0,4 metri.",F,"in presenza di forza del vento non superiore a 5 e altezza significativa dell'onda non superiore a 0,4 metri, occasionalmente a 0,6 metri.",F,"in presenza di forza del vento non superiore a 4 e altezza significativa dell'onda non superiore a 0,3 metri, occasionalmente a 0,5 metri.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
844,,"Verificare prima della partenza che le dotazioni di sicurezza di un'unità da diporto siano efficienti, è un compito di chi?",dell'Organismo tecnico notificato o autorizzato al momento di visita a bordo.,F,dell'Autorità Marittima.,F,del comandante dell'unità.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
845,,In generale il numero minimo dei componenti l'equipaggio di una qualsiasi unità da diporto (purchè non adibita a noleggio) è stabilito:,dal comandante in funzione della navigazione da intraprendere in relazione alle condimeteo marine e alla distanza da porti sicuri.,V,nel certificato di sicurezza per imbarcazioni da diporto.,F,"con ordinanza dell'Autorità marittima competente, trattandosi di navigazione entro 12 miglia.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
846,,La moto d'acqua può navigare oltre la velocità minima:,oltre 100 metri dalla costa.,F,"oltre 1000 metri dalla costa, 500 metri dalle coste a picco.",V,oltre 1 miglio dalla costa.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
847,,E' obbligatoria la patente per l'uso della moto d'acqua?,no.,F,"si, sempre.",V,"solo se la potenza del motore supera i 40,8 CV (30 Kw).",F,NORMATIVA DIPORTISTICA E AMBIENTALE
848,,Un natante omologato CE può navigare:,"anche oltre 12 miglia dalla costa, se ha le adeguate dotazioni di sicurezza",F,sempre e solo entro 6 miglia dalla costa.,F,"entro 12 miglia dalla costa, se omologato per la navigazione senza alcun limite.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
850,,Il comandante è responsabile:,della sostituzione dei mezzi di salvataggio e delle dotazioni di sicurezza che presentino deterioramento o deficienze tali da comprometterne l'efficienza.,V,del rilascio del certificato di sicurezza.,F,del rilascio della dichiarazione di potenza.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
851,,Al compimento dei 16 anni di età:,si può essere ammessi all'esame per il rilascio della patente nautica anche senza limiti dalla costa.,F,"si può essere ammessi al conseguimento della patente categoria D, tipo D1.",V,si può essere ammessi esclusivamente all'esame per il rilascio della patente nautica entro 12 miglia dalla costa.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
852,,"La patente di categoria D, tipo D1:","consente la conduzione di unità con motorizzazione non superiore a 85 Kw o a 115,6 CV.",V,"consente la conduzione di unità con motorizzazione non superiore a 110,3 Kw o a 150
CV.",F,consente la navigazione su qualsiasi imbarcazione ai sedicenni.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
853,,"La patente di categoria D, tipo D1:",consente la conduzione di unità fino a 24 metri.,F,"se maggiorenni, consente la conduzione di unità fino a 12 metri.",V,consente ai sedicenni la conduzione di unità fino a 12 metri.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
854,,"Nelle acque marittime, è fatto divieto alle unità da diporto in transito, in sosta e all’ancora:",di effettuare attività di balneazione entro 500 metri dalla costa.,F,"di effettuare attività commerciali enntro 500 metri dalla
costa.",F,di produrre rumori molesti (emissioni sonore) entro 500 metri dalla costa.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
855,,"La pratica dello sci nautico prevede, altresì, l'utilizzo delle seguenti dotazioni:",una boetta di segnalazione di colore arancione munita di sagola galleggiante di lunghezza non inferiore a 180 metri.,F,la cassetta di pronto soccorso ed un salvagente per ciascuno degli sciatori trainati.,V,un gavitello di colore arancione munito di apposito dispositivo luminoso lampeggiante di colore blu visibile per tutto l'orizzonte.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
857,,La pratica dello sci nautico quale dotazione prevede ?,la boetta di segnalazione di colore arancione munita di sagola galleggiante di lunghezza non inferiore a 180 metri.,F,la cassetta di pronto soccorso ed un salvagente per ciascuno degli sciatori trainati.,V,un gavitello di colore arancione munito di apposito dispositivo luminoso lampeggiante di colore blu visibile per tutto l'orizzonte.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
858,,"I conduttori delle unità navali da diporto munite di motore entrobordo e fuoribordo, utilizzate per l'esercizio dello sci nautico:",possono anche non essere abilitati alla condotta dell'unità anzidette.,F,devono avere la patente nautica.,V,devono essere abilitati alla condotta dell'unità solo nel caso esse siano dotate di motori di potenza superiori a 50 Hp.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
859,,"I conduttori di natanti muniti di motore entrobordo e fuoribordo, utilizzati per l'esercizio dello sci nautico, devono:",essere assistiti da altra persona imbarcata a bordo di un tender in attività di assistenza.,F,essere in possesso della patente per navi da diporto.,F,essere sempre assistiti da altra persona esperta nel nuoto.,V,NORMATIVA DIPORTISTICA E AMBIENTALE
860,,"Avuto riguardo alla disciplina dello sci nautico, quale tra queste affermazioni è corretta?","è consentito a qualsiasi unità navale a motore seguire altre unità navali trainanti sciatori, purchè distanti oltre i 15 metri dallo sciatore stesso.",F,"è vietato a qualsiasi unità navale a motore seguire, nella scia o a distanza inferiore a quella di sicurezza, altre unità navali trainanti sciatori oppure attraversarne la scia in velocità a vicinanza tale da poter investire gli sciatori in caso di caduta.",v,è vietato a qualsiasi unità navale a motore superare altre unità navali trainanti sciatori oppure attraversarne la scia a velocità superiore a 15 nodi.,F,NORMATIVA DIPORTISTICA E AMBIENTALE
861,,"Nelle zone di mare antistanti le spiagge, in assenza dei corridoi di lancio, la partenza o il rientro delle unità navali a motore addette al traino di sciatori:","deve avvenire a velocità non superiore a cinque nodi nell'ultimo tratto dei 200 metri dalla batimetrica di metri 1,60.",F,"deve avvenire a velocità non superiore a sette nodi nell'ultimo tratto dei 200 metri dalla batimetrica di metri 1,60.",F,"deve avvenire a velocità non superiore a tre nodi nell'ultimo tratto dei 200 metri dalla batimetrica di metri 1,60.",V,NORMATIVA DIPORTISTICA E AMBIENTALE
862,,L'esercizio dello sci nautico è consentito per ragioni di sicurezza:,"esclusivamente nelle ore diurne, con tempo favorevole e mare calmo.",V,"non oltre 50 metri dalla costa, con tempo favorevole e mare calmo.",F,"esclusivamente dalle ore 09:00 alle ore 19:00, con tempo favorevole e con stato del mare non superiore a 3.",F,NORMATIVA DIPORTISTICA E AMBIENTALE
